Sample identification,,,,Data collected at mesocosm during discrete sample collection,,,,,Burke-o-Lator Analysis,,,,,Finalized processed data from BoL analysis at sample in situ temperature and computed additional parameters,,,,,,,,,,,,,,,,,,
Timepoint,"Treatment (Amb, Mid, High)",Tank ID,Sample ID,Date of Collection,Time,Tank Temp (Walchem),Tank pH (DuraFET),Air Flow (L/min),Date of Analysis,Sample Sal (YSI),Analysis T,pCO2@analysis T,Adj. TCO2,TCO2 (?mol/kg),TA (?mol/kg),pCO2 (?atm),pH (total),Omega_arag,Omega_ca,Notes,,,,,,,,,,,,
1,ambient,10,636,2023-02-22,6:15,9.9,7.92,7.5,2023-06-08,29.3,18.918,732.8845344,1920.331662,1924.069871,2017.042301,527.3046357,7.905261314,1.19678581,1.908169954,,,,,,,,,,,,,
1,ambient,23,637,2023-02-22,6:20,10.3,7.90,7.5,2023-06-08,29.4,19.045,740.2223309,1914.532501,1918.361368,2010.28063,539.4602261,7.895210949,1.18766894,1.891705466,,,,,,,,,,,,,
1,ambient,40,638,2023-02-22,6:25,10.4,7.89,7.0,2023-06-08,29.4,19.051,766.4030207,1924.133463,1928.285789,2016.140747,562.8911398,7.879664446,1.157505257,1.843340116,,,,,,,,,,,,,
1,ambient - control,31,639,2023-02-22,6:25,10.3,7.93,7.5,2023-06-08,29.4,19.068,727.0158156,1922.116641,1925.782342,2021.236923,528.0646401,7.90586015,1.221016293,1.944820746,,,,,,,,,,,,,
1,mid,8,640,2023-02-22,6:20,10.0,7.67,7.0,2023-06-08,29.4,20.038,1231.66285,1988.908948,1998.809521,2030.68521,923.8197661,7.68183986,0.753735434,1.201162214,,,,,,,,,,,,,
1,mid,17,641,2023-02-22,6:25,10.4,7.64,7.0,2023-06-08,29.4,20.126,1229.13886,1996.077001,2005.94639,2038.979108,932.4716234,7.68053334,0.766429076,1.220546908,,,,,,,,,,,,,
1,mid,39,642,2023-02-22,6:25,10.3,7.65,7.0,2023-06-08,29.4,20.105,1194.766138,1987.348107,1996.792824,2033.000005,898.8619378,7.69413113,0.783915626,1.248611818,,,,,,,,,,,,,
1,mid -control,25,643,2023-02-22,6:25,10.5,7.66,7.0,2023-06-08,29.4,20.036,1246.959943,1988.620118,1998.709685,2028.878226,956.3607874,7.668316071,0.745555445,1.187097687,,,,,,,,,,,,,
1,high,18,647,2023-02-22,6:20,10.1,7.52,7.5,2023-06-08,29.4,20.031,1557.27383,2015.709315,2029.632784,2031.15752,1233.253218,7.563025651,0.584129014,0.93071564,,,,,,,,,,,,,
1,high,24,646,2023-02-22,6:15,10.4,7.57,8.0,2023-06-08,29.4,19.989,1470.58153,2002.426935,2015.279328,2023.711495,1165.64143,7.585531644,0.618582928,0.985100256,,,,,,,,,,,,,
1,high,32,645,2023-02-22,6:15,10.1,7.55,7.5,2023-06-08,29.4,19.95,1418.565499,1994.999619,2007.209358,2019.934087,1104.801243,7.606246346,0.638531117,1.017396642,,,,,,,,,,,,,
1,high - control,7,644,2023-02-22,6:25,10.3,7.56,7.5,2023-06-08,29.4,19.841,1418.558447,2023.958416,2036.168068,2050.179272,1115.397653,7.608948049,0.657112752,1.046641654,,,,,,,,,,,,,
