Sample identification,,,,Data collected at mesocosm during discrete sample collection,,,,,Burke-o-Lator Analysis,,,,,Finalized processed data from BoL analysis at sample in situ temperature and computed additional parameters,,,,,,,,,,,,,,,,,,
Timepoint,"Treatment (Amb, Mid, High)",Tank ID,Sample ID,Date of Collection,Time,Tank Temp (Walchem),Tank pH (DuraFET),Air Flow (L/min),Date of Analysis,Sample Sal (YSI),Analysis T,pCO2@analysis T,Adj. TCO2,TCO2 (?mol/kg),TA (?mol/kg),pCO2 (?atm),pH (total),Omega_arag,Omega_ca,Notes,,,,,,,,,,,,
2,ambient,10,648,2023-02-27,14:44,10.2,7.93,7.6,2023-06-08,29.5,20.024,674.6017992,1905.55224,1908.57037,2019.090098,465.9415847,7.954329715,1.345586566,2.142903465,,,,,,,,,,,,,
2,ambient,23,649,2023-02-27,14:49,10.1,7.93,7.3,2023-06-08,29.6,20.336,721.5836708,1902.416138,1906.014725,2007.999846,493.9620938,7.928783712,1.267035559,2.017500121,,,,,,,,,,,,,
2,ambient,40,650,2023-02-27,14:37,10.3,7.89,7.1,2023-06-08,29.6,20.556,768.675122,1910.208224,1914.388623,2008.922056,529.88254,7.901534679,1.206927935,1.921126767,,,,,,,,,,,,,
2,ambient - control,31,462,2023-02-27,14:43,10.3,7.94,8.1,2023-06-08,29.6,20.706,709.1819109,1912.564737,1916.010102,2023.783365,481.1368617,7.942542147,1.323686981,2.106977904,,,,,,,,,,,,,
2,mid,8,463,2023-02-27,14:40,10.3,7.65,7.3,2023-06-08,29.6,20.422,1299.215194,1993.869249,2004.604426,2031.657246,982.1933644,7.657110454,0.725855673,1.155380303,,,,,,,,,,,,,
2,mid,17,464,2023-02-27,14:50,10.1,7.42,6.0,2023-06-08,29.5,20.723,1323.581916,1996.649184,2007.685409,2033.446377,985.4473592,7.65590915,0.717661246,1.143102886,,,,,,,,,,,,,
2,mid,39,465,2023-02-27,14:35,10.2,7.61,7.7,2023-06-08,29.5,21.007,1331.63608,2013.111776,2024.24751,2051.493071,984.6766196,7.660112008,0.733564627,1.168232666,,,,,,,,,,,,,
2,mid - control,25,466,2023-02-27,14:54,10.4,7.65,7.2,2023-06-08,29.5,21.376,1356.669333,2007.679312,2019.124329,2045.024082,1001.596166,7.652223441,0.724383561,1.153210807,,,,,,,,,,,,,
2,high,24,468,2023-02-27,14:54,10.5,7.54,6.8,2023-06-08,29.6,21.377,1622.483985,2036.14135,2050.870485,2053.805913,1251.716241,7.562014239,0.601000074,0.956307645,,,,,,,,,,,,,
2,high,32,469,2023-02-27,14:39,10.3,7.54,6.8,2023-06-08,29.6,21.618,1557.921728,2026.329048,2040.260521,2049.326204,1171.546733,7.588065342,0.629974068,1.002760819,,,,,,,,,,,,,
2,high - control,7,470,2023-02-27,14:37,10.1,7.50,7.25,2023-06-08,29.6,21.773,1709.177106,2036.059844,2051.860065,2049.073919,1297.013525,7.545372985,0.569138847,0.906239517,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary,,Salinity,,TCO2 (µmol/kg),,TA (µmol/kg),,pCO2 (µatm),,pH (total),,Omega_arag,,Omega_ca,,,,,,,,,,,,,,,,,,
,,Average,St. Dev,Average,St. Dev,Average,St. Dev,Average,St. Dev,Average,St. Dev,Average,St. Dev,Average,St. Dev,,,,,,,,,,,,,,,,,
Ambient T1,,29.38,0.05,1924.12,4.21,2016.18,4.51,539.43,16.60,7.90,0.01,1.19,0.03,1.90,0.04,,,,,,,,,,,,,,,,,
Ambient T2,,29.58,0.05,1911.25,4.73,2014.95,7.74,492.73,27.29,7.93,0.02,1.29,0.06,2.05,0.10,,,,,,,,,,,,,,,,,
Mid T1,,29.40,0.00,2000.06,4.03,2032.89,4.40,927.88,23.74,7.68,0.01,0.76,0.02,1.21,0.03,,,,,,,,,,,,,,,,,
Mid T2,,29.52,0.05,2013.92,9.30,2040.41,9.47,988.48,8.85,7.66,0.00,0.73,0.01,1.15,0.01,,,,,,,,,,,,,,,,,
High T1,,29.40,0.00,2022.07,13.20,2031.25,13.46,1154.77,58.67,7.59,0.02,0.62,0.03,0.99,0.05,,,,,,,,,,,,,,,,,
High T2,,29.60,0.00,2047.66,6.43,2050.74,2.66,1240.09,63.54,7.57,0.02,0.60,0.03,0.96,0.05,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Both timepoints together,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambient,,29.48,0.12,1917.69,8.04,2015.56,5.9,516.08,32.56,7.91,0.03,1.24,0.07,1.97,0.11,,,,,,,,,,,,,,,,,
Mid,,29.46,0.07,2006.99,9.94,2036.65,7.93,958.18,36.39,7.67,0.02,0.74,0.02,1.18,0.04,,,,,,,,,,,,,,,,,
High,,29.49,0.11,2033.04,16.97,2039.6,14.19,1191.34,71.74,7.58,0.02,0.61,0.03,0.98,0.05,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
